prjNo,subjectCode,ctitle,psnName,orgName,totalAmt,startEndDate
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
